RandRep,Treat,Gen,CovParm,Subject,Estimate
876,3,1,"UN(5,5)",Anim(Trea*Line*Vial),0.7136
876,3,1,"UN(6,1)",Anim(Trea*Line*Vial),-0.08961
876,3,1,"UN(6,2)",Anim(Trea*Line*Vial),-0.1296
876,3,1,"UN(6,3)",Anim(Trea*Line*Vial),-0.1801
876,3,1,"UN(6,4)",Anim(Trea*Line*Vial),-0.1200
876,3,1,"UN(6,5)",Anim(Trea*Line*Vial),-0.1434
876,3,1,"UN(6,6)",Anim(Trea*Line*Vial),0.6831
876,3,2,"UN(1,1)",Line,0.3452
876,3,2,"UN(2,1)",Line,0.1581
876,3,2,"UN(2,2)",Line,0.1531
876,3,2,"UN(3,1)",Line,-0.08401
876,3,2,"UN(3,2)",Line,0.08699
876,3,2,"UN(3,3)",Line,0.3119
876,3,2,"UN(4,1)",Line,0.03701
876,3,2,"UN(4,2)",Line,-0.00378
876,3,2,"UN(4,3)",Line,0.04309
876,3,2,"UN(4,4)",Line,0.1283
876,3,2,"UN(5,1)",Line,0.2113
876,3,2,"UN(5,2)",Line,0.1095
876,3,2,"UN(5,3)",Line,0.02021
876,3,2,"UN(5,4)",Line,0.01155
876,3,2,"UN(5,5)",Line,0.1535
876,3,2,"UN(6,1)",Line,-0.01901
876,3,2,"UN(6,2)",Line,-0.09109
876,3,2,"UN(6,3)",Line,-0.2301
876,3,2,"UN(6,4)",Line,-0.06437
876,3,2,"UN(6,5)",Line,-0.03776
876,3,2,"UN(6,6)",Line,0.2299
876,3,2,"UN(1,1)",Vial(Treat*Line),0.1068
876,3,2,"UN(2,1)",Vial(Treat*Line),0.008423
876,3,2,"UN(2,2)",Vial(Treat*Line),0.06166
